,x,A,P,rho,u
98,-22.0,1.014432853707712,48612.83099475155,0.30877996845194844,399.4001912050847
99,-21.0,1.013148981397363,48339.24910826715,0.30746462639107036,401.6171251656385
100,-20.0,1.011924992,48064.79424961395,0.30614331268683853,403.83838237379916
101,-19.0,1.010760857238643,47789.49410705768,0.3048161310331798,406.06385325708237
102,-18.0,1.009656551668672,47513.37664872937,0.30348318674028696,408.29342793012756
103,-17.0,1.008612052755707,47236.47010838305,0.3021445866836423,410.5269962453768
104,-16.0,1.007627340955648,46958.80297082389,0.30080043925125316,412.76444784480174
105,-15.0,1.006702399796875,46680.403956938106,0.2994508542887466,415.0056722133496
106,-14.0,1.005837215964608,46401.302008246064,0.2980959430418956,417.2505587347932
107,-13.0,1.005031779387427,46121.5262708638,0.29673581809599126,419.49899675101597
108,-12.0,1.004286083325952,45841.10607856874,0.2953705933105288,421.7508756272513
109,-11.0,1.003600124463683,45560.07093458778,0.29400038374727994,424.0060848264178
110,-10.0,1.002973903,45278.45049124049,0.29262530558743666,426.2645139995992
111,-9.0,1.002407422745323,44996.27452590812,0.2912454760302101,428.5260531049627
112,-8.0,1.001900691218432,44713.57291019162,0.2898610131572957,430.7905925803162
113,-7.0,1.001453719745947,44430.3755654254,0.2884720357292868,433.0580236240097
114,-6.0,1.001066523563968,44146.71238876425,0.2870786628356901,435.3282387104322
115,-5.0,1.000739121921875,43862.61310826671,0.28568101319223427,437.6011326725459
116,-4.0,1.000471538188288,43578.10694177875,0.2842792034642312,439.8766053522674
117,-3.0,1.000263799959187,43293.221596565505,0.28287334331833097,442.1545695200531
118,-2.0,1.000115939168192,43007.97926285396,0.281463515557767,444.43498282247583
119,-1.0,1.000027992199003,42722.36781393007,0.28004963323336707,446.7180779080294
120,0.0,1.0,42446.253412547805,0.2786806254904872,448.9251291555879
121,1.0,1.000027992199003,42169.974128360096,0.27730867765753153,451.1334983586684
122,2.0,1.000115939168192,41883.844693469175,0.27588555903134293,453.4207340945264
123,3.0,1.000263799959187,41597.73166435796,0.2744602061164606,455.70810833882075
